5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00
5.191559180150679076e+00,5.191561142537515217e+00,5.194231165891955548e+00,5.200204135848379927e+00,5.210444607355151803e+00,5.226238781324370031e+00,5.249805302965453890e+00,5.285138682917692954e+00,5.338332139930594522e+00,5.416568492647653166e+00,5.524826564434405007e+00,5.660097357390454498e+00,5.805286270410523031e+00,5.925274274592172929e+00,5.957276476835410506e+00,5.821390219068963034e+00,5.470063749695008859e+00,4.862004179609043852e+00,3.955117518655093534e+00,2.696443054203238709e+00,1.009706545191059845e+00,-1.009708228749351067e+00
5.446050476453645928e+00,5.446048775456000079e+00,5.453378474810202547e+00,5.468066212923281100e+00,5.490327024769069197e+00,5.520838335407739272e+00,5.561053551825390961e+00,5.613406933884344419e+00,5.681134908747180745e+00,5.767109456682148583e+00,5.870820656468217713e+00,5.983488048580539065e+00,6.082245549931386108e+00,6.117757104870574558e+00,5.943736795914894344e+00,5.523437359427255444e+00,4.885926213039602395e+00,4.045941758202521221e+00,3.029949495282617367e+00,1.877337532586188962e+00,6.380051201134298022e-01,-6.380033486589297143e-01
5.587818814724051286e+00,5.587821993949939170e+00,5.593002425576288239e+00,5.603464755339372161e+00,5.619174414423598662e+00,5.639972444576676125e+00,5.666147260191489288e+00,5.699283295545621186e+00,5.742681400802545966e+00,5.800710207601633250e+00,5.876707156948168809e+00,5.968854318547384352e+00,6.063183678575719604e+00,6.107054157116903248e+00,5.882790889678028989e+00,5.399682542289114373e+00,4.707705921323753984e+00,3.844604440167142645e+00,2.847713642734514217e+00,1.753555692637130958e+00,5.958974194813798642e-01,-5.959006096591603630e-01
5.779834175387518869e+00,5.779828308769412004e+00,5.779690046516206436e+00,5.779872084532271970e+00,5.781338307997515358e+00,5.785533960513658869e+00,5.794161581941242645e+00,5.808751659631388620e+00,5.830287076334151664e+00,5.859072772855268951e+00,5.894358812320104057e+00,5.933127007524380048e+00,5.966573326230697027e+00,5.943881223529631441e+00,5.682814014557005855e+00,5.191754822537502534e+00,4.514130238208637458e+00,3.683509403977816898e+00,2.730856543082171406e+00,1.685480080086703802e+00,5.749856178295512654e-01,-5.749801047926846875e-01
5.849853047269570006e+00,5.849854477683569698e+00,5.848280772257091087e+00,5.844827552659332959e+00,5.838972675323391925e+00,5.830295996675866732e+00,5.819019808219493051e+00,5.806607920527214084e+00,5.795886409576644027e+00,5.790621263327153656e+00,5.795137804081570643e+00,5.813770822874170463e+00,5.846205122765201878e+00,5.860049818353037843e+00,5.658491157748191114e+00,5.211738244082768645e+00,4.560338491600897548e+00,3.739260372403010013e+00,2.781957263979262684e+00,1.720944260786624103e+00,5.877455474486967812e-01,-5.877470365072431369e-01
5.831548694883641915e+00,5.831552224606201484e+00,5.835492420874066610e+00,5.842365765392696808e+00,5.850453745640655789e+00,5.857749131928813746e+00,5.862634052734947865e+00,5.864379339660673374e+00,5.863286413235086592e+00,5.860531912763061513e+00,5.857749371790197834e+00,5.856425644545639742e+00,5.858174767536799443e+00,5.832274128465638086e+00,5.607773470308234032e+00,5.149248640160234203e+00,4.495571364767410927e+00,3.679661351425512539e+00,2.733140571771172311e+00,1.687403510770837611e+00,5.741368876968300228e-01,-5.741398540633301240e-01
5.821492515130672452e+00,5.821491927859343996e+00,5.815333564738155658e+00,5.805061525356176588e+00,5.793475341426274738e+00,5.782859995576966838e+00,5.774357063134748280e+00,5.768512564796990816e+00,5.766343827189180260e+00,5.770161973304193559e+00,5.783928418778701896e+00,5.813207187991642044e+00,5.858910517725347766e+00,5.893561962499163087e+00,5.706017363416830079e+00,5.265158538594620907e+00,4.614570241037339926e+00,3.790090007627243018e+00,2.825182995069984937e+00,1.751697250240875858e+00,6.000814031945075344e-01,-6.000813902816051204e-01
5.874201083629192688e+00,5.874195413884248040e+00,5.869591533884773504e+00,5.860931427788556469e+00,5.849520317573428052e+00,5.837455235868931780e+00,5.827149948161615356e+00,5.820613320521374590e+00,5.819048240477916245e+00,5.823148854064437607e+00,5.833723398872881383e+00,5.850691524916039832e+00,5.874371051589006854e+00,5.863274223706016031e+00,5.631838739923844983e+00,5.164183276428516933e+00,4.503696636799232600e+00,3.684624264850634656e+00,2.738229334327111797e+00,1.694022706531039368e+00,5.796931745117449575e-01,-5.796876348637223231e-01
5.770245390439946220e+00,5.770251262920042201e+00,5.776225669674496466e+00,5.786446138824795860e+00,5.798042941430272101e+00,5.808014222171093976e+00,5.814553464912020964e+00,5.817886396463533671e+00,5.820171993573046265e+00,5.824675433227168853e+00,5.834996423957147016e+00,5.856597177727119963e+00,5.888009094118929809e+00,5.898870265143858482e+00,5.680929012385075083e+00,5.224023135099167270e+00,4.566555482251654752e+00,3.742092772441328652e+00,2.783035024052143758e+00,1.721125861299368065e+00,5.874997947526422459e-01,-5.875053095038077489e-01
